Sigla,Nome,Setor
TAEE11,TAESA UNT,Energia Elétrica
TAEE3,TAESA ON,Energia Elétrica
TAEE4,TAESA PN,Energia Elétrica
TBOF11,FII TBOFFICE,DBRs
TCSA3,TECNISA ON,Construção Civil
TECN3,TECHNOS ON,"Tecidos, Vestuário e Calçados"
TEKA3,TEKA ON,"Tecidos, Vestuário e Calçados"
TEKA4,TEKA PN,"Tecidos, Vestuário e Calçados"
TELB3,TELEBRAS ON,Telecomunicações
TELB4,TELEBRAS PN,Telecomunicações
TEND3,TENDA ON,Construção Civil
TESA3,TERRA SANTA ON,Agropecuária
TEXA34,TEXAS INC DRN,DBRs
TFOF11,FII TOPFOFII,DBRs
TGAR11,FII TG ATIVO,DBRs
TGMA3,TEGMA ON,Transporte
TGTB34,TARGET CORP DRN,DBRs
THRA11,FII BM THERA,DBRs
TIET11,AES TIETE E UNT,Energia Elétrica
TIET3,AES TIETE E ON,Energia Elétrica
TIET4,AES TIETE E PN,Energia Elétrica
TIFF34,TIFFANY DRN,DBRs
TIMP3,TIM PART S/A ON,Telecomunicações
TKNO4,TEKNO PN,Siderurgia e Metalurgia
TMOS34,THERMFISCHER DRN,DBRs
TOTS3,TOTVS ON,Computadores e Equipamentos
TOUR13,FII TOUR II,DBRs
TOYB3,TECTOY ON,DBRs
TOYB4,TECTOY PN,DBRs
TPIS3,TRIUNFO PART ON,Transporte
TRIS3,TRISUL ON,Construção Civil
TRNT11,FII TORRE NO,DBRs
TRPL3,TRAN PAULIST ON,Energia Elétrica
TRPL4,TRAN PAULIST PN,Energia Elétrica
TRPN3,TARPON INV ON,DBRs
TRVC34,TRAVELERS DRN,DBRs
TRXL11,FII TRX LOG,DBRs
TSLA34,TESLA INC DRN,DBRs
TUPY3,TUPY ON,Material de Transporte
TWTR34,TWITTER DRN,DBRs
TXRX4,TEX RENAUX PN,"Tecidos, Vestuário e Calçados"
UBSG34,UBS GROUP DRN,DBRs
UBSR11,FII UBS (BR),DBRs
UCAS3,UNICASA ON,Utilidades Domésticas
UGPA3,ULTRAPAR ON,"Petróleo, Gás e Biocombustíveis"
UNIP3,UNIPAR ON,Químicos
UNIP5,UNIPAR PNA,Químicos
UNIP6,UNIPAR PNB,Químicos
UPAC34,UNIONPACIFIC DRN,DBRs
UPSS34,UPS DRN,DBRs
USBC34,US BANCORP DRN,DBRs
USIM3,USIMINAS ON,Siderurgia e Metalurgia
USIM5,USIMINAS PNA,Siderurgia e Metalurgia
USIM6,USIMINAS PNB,Siderurgia e Metalurgia
USSX34,US STEEL DRN,DBRs
UTEC34,UNITED TECH DRN,DBRs
VALE3,VALE ON,Mineração
VERZ34,VERIZON DRN,DBRs
VGIR11,FII VALREIII,DBRs
VILG11,FII VINCILOG,DBRs
VISA34,VISA INC DRN,DBRs
VISC11,FII VINCI SC,DBRs
VIVR3,VIVER ON,Construção Civil
VIVT3,TELEF BRASIL ON,Telecomunicações
VIVT4,TELEF BRASIL PN,Telecomunicações
VLID3,VALID ON,Serviços Diversos
VLOE34,VALERO ENER DRN,DBRs
VLOL11,FII OLIMPIA,DBRs
VOTS11,FII V MASTER,DBRs
VRTA11,FII FATOR VE,DBRs
VSHO11,FII VOT SHOP,DBRs
VTLT11,FII VOT LOG,DBRs
VULC3,VULCABRAS ON,"Tecidos, Vestuário e Calçados"
VVAR3,VIAVAREJO ON,eCommerce
WALM34,WAL MART DRN,DBRs
WEGE3,WEG ON,Máquinas e Equipamentos
WFCO34,WELLS FARGO DRN,DBRs
WHRL3,WHIRLPOOL ON,Utilidades Domésticas
WHRL4,WHIRLPOOL PN,Utilidades Domésticas
WIZS3,WIZ S.A. ON,Seguradoras
WLMM3,WLM IND COM ON,Material de Transporte
WLMM4,WLM IND COM PN,Material de Transporte
WPLZ11,FII W PLAZA,DBRs
WSON33,WILSON SONS DR3,Transporte
WTSP11B,FII WTC SP,DBRs
XBOV11,CAIXAETFXBOV CI,DBRs
XPCM11,FII XP MACAE,DBRs
XPHT11,FII XP HOT,DBRs
XPHT12,FII XP HOT,DBRs
XPIN11,FII XP INDL,DBRs
XPLG11,FII XP LOG,DBRs
XPML11,FII XP MALLS,DBRs
XRXB34,XEROX CORP DRN,DBRs
XTED11,FII TRXE COR,DBRs
